Iteration: 55 | Cardinality: 280339.45422813745 | Time: 1.0179634094238281
Iteration: 56 | Cardinality: 283427.75876222336 | Time: 1.0031955242156982
Iteration: 57 | Cardinality: 303266.1517935243 | Time: 1.0097682476043701
Iteration: 58 | Cardinality: 281580.60520967725 | Time: 1.012416124343872
Iteration: 59 | Cardinality: 280216.4944375655 | Time: 0.9940352439880371
Iteration: 60 | Cardinality: 296058.45139464346 | Time: 1.0227887630462646
Iteration: 61 | Cardinality: 284255.9521382343 | Time: 0.980863094329834
Iteration: 62 | Cardinality: 275932.0795491222 | Time: 0.9582605361938477
Iteration: 63 | Cardinality: 293428.41970272124 | Time: 0.9411964416503906
Iteration: 64 | Cardinality: 281863.4648191847 | Time: 0.9506185054779053
Iteration: 65 | Cardinality: 277251.2466571623 | Time: 1.0391039848327637
Iteration: 66 | Cardinality: 294206.9921292648 | Time: 0.9382526874542236
Iteration: 67 | Cardinality: 282365.0595071608 | Time: 1.0200862884521484
Iteration: 68 | Cardinality: 291737.93104193674 | Time: 1.0676300525665283
Iteration: 69 | Cardinality: 293709.4065929485 | Time: 0.9945452213287354
Iteration: 70 | Cardinality: 283528.38138534914 | Time: 0.9364264011383057
Iteration: 71 | Cardinality: 286854.0876615875 | Time: 0.9387087821960449
Iteration: 72 | Cardinality: 281380.2377010688 | Time: 0.9974746704101562
Iteration: 73 | Cardinality: 287079.4930330726 | Time: 0.9778718948364258
Iteration: 74 | Cardinality: 283262.57827971515 | Time: 1.0328218936920166
Iteration: 75 | Cardinality: 278898.2398932138 | Time: 0.9561820030212402
Iteration: 76 | Cardinality: 291380.5186018544 | Time: 0.9016203880310059
Iteration: 77 | Cardinality: 286256.5608119032 | Time: 1.0353879928588867
Iteration: 78 | Cardinality: 273256.00653323816 | Time: 1.0036866664886475
Iteration: 79 | Cardinality: 285615.38074126595 | Time: 1.089878797531128
Iteration: 80 | Cardinality: 280151.89409178216 | Time: 0.9808216094970703
Iteration: 81 | Cardinality: 296796.0138363512 | Time: 0.909477710723877
Iteration: 82 | Cardinality: 290178.8968604438 | Time: 1.038468599319458
Iteration: 83 | Cardinality: 290347.2441271717 | Time: 1.0619838237762451
Iteration: 84 | Cardinality: 294055.6404110548 | Time: 0.981788158416748
Iteration: 85 | Cardinality: 293968.1328141568 | Time: 1.040902853012085
Iteration: 86 | Cardinality: 278532.4512310282 | Time: 1.0813322067260742
Iteration: 87 | Cardinality: 284407.36150871374 | Time: 1.005190372467041
Iteration: 88 | Cardinality: 285497.78755230136 | Time: 1.0098717212677002
Iteration: 89 | Cardinality: 279574.4861567919 | Time: 0.9485337734222412
Iteration: 90 | Cardinality: 299039.91838623874 | Time: 1.0716288089752197
Iteration: 91 | Cardinality: 278178.3159296809 | Time: 1.0124084949493408
Iteration: 92 | Cardinality: 282414.43125170196 | Time: 0.899611234664917
Iteration: 93 | Cardinality: 285261.0425764212 | Time: 0.9212331771850586
Iteration: 94 | Cardinality: 294447.1154003704 | Time: 0.9192728996276855
Iteration: 95 | Cardinality: 289085.7409351323 | Time: 0.9372367858886719
Iteration: 96 | Cardinality: 297961.5980819043 | Time: 0.9039576053619385
Iteration: 97 | Cardinality: 270922.8667644772 | Time: 0.927515983581543
Iteration: 98 | Cardinality: 277733.04088982684 | Time: 1.0361371040344238
Iteration: 99 | Cardinality: 278102.9182371001 | Time: 1.081904649734497
Iteration: 100 | Cardinality: 291365.8374094712 | Time: 0.9438388347625732
Iteration: 101 | Cardinality: 274327.2877702858 | Time: 1.0033936500549316
Iteration: 102 | Cardinality: 288890.51273340126 | Time: 0.9567630290985107
Iteration: 103 | Cardinality: 286533.4039302069 | Time: 1.1084799766540527
Iteration: 104 | Cardinality: 285091.7689023631 | Time: 0.972482442855835
Iteration: 105 | Cardinality: 282709.6627300313 | Time: 1.044783115386963
Iteration: 106 | Cardinality: 289566.2889064408 | Time: 0.975470781326294
Iteration: 107 | Cardinality: 295402.5086828497 | Time: 0.9356911182403564
Iteration: 108 | Cardinality: 294278.24467141624 | Time: 0.9703681468963623
Iteration: 109 | Cardinality: 289613.81753038144 | Time: 0.9420485496520996
